run_timestamp,bug,dataset,stage,input_type,duration_s,gpu_energy_j,codecarbon_energy_kwh,codecarbon_co2_kg
2026-08-10T05:08:42,Closure-107,Defects4J,SR,bug_report,3547.766,1414409.49,0.471129,0.21888
2026-08-10T05:08:42,Closure-108,Defects4J,SR,bug_report,3570.299,1406154.107,0.469382,0.218068
2026-08-10T05:08:42,Closure-109,Defects4J,SR,bug_report,3564.236,1415988.907,0.472195,0.219375
2026-08-10T05:08:42,Closure-11,Defects4J,SR,bug_report,3460.996,1372336.197,0.457756,0.212667
2026-08-10T18:07:47,Closure-110,Defects4J,SR,bug_report,3559.705,1412378.564,0.067439,0.031331
2026-08-10T18:07:47,Closure-111,Defects4J,SR,bug_report,3465.015,1383578.581,0.460931,0.214142
2026-08-10T18:07:47,Closure-112,Defects4J,SR,bug_report,3490.01,1375033.229,0.458958,0.213225
2026-08-10T18:07:47,Closure-113,Defects4J,SR,bug_report,3474.868,1379518.035,0.46,0.21371
2026-08-10T18:07:47,Closure-114,Defects4J,SR,bug_report,3457.017,1373656.699,0.4581,0.212827
2026-08-10T18:07:47,Closure-115,Defects4J,SR,bug_report,3455.191,1383087.547,0.460225,0.213814
2026-08-10T18:07:47,Closure-116,Defects4J,SR,bug_report,3509.534,1436193.391,0.475468,0.220896
2026-08-10T18:07:47,Closure-117,Defects4J,SR,bug_report,3482.212,1443121.268,0.476898,0.22156
2026-08-10T18:07:47,Closure-118,Defects4J,SR,bug_report,3497.393,1439714.616,0.476298,0.221281
2026-08-10T18:07:47,Closure-119,Defects4J,SR,bug_report,3510.779,1448710.556,0.479283,0.222668
2026-08-10T18:07:47,Closure-12,Defects4J,SR,bug_report,3491.686,1433447.31,0.474601,0.220493
2026-08-10T18:07:47,Closure-120,Defects4J,SR,bug_report,3518.014,1458851.339,0.482296,0.224068
2026-08-11T07:42:52,Closure-121,Defects4J,SR,bug_report,3480.799,1449319.168,0.06547,0.030416
2026-08-11T07:42:52,Closure-122,Defects4J,SR,bug_report,3497.38,1447578.347,0.479042,0.222556
2026-08-11T07:42:52,Closure-123,Defects4J,SR,bug_report,3508.649,1443483.526,0.477847,0.222001
2026-08-11T07:42:52,Closure-124,Defects4J,SR,bug_report,3502.847,1436295.092,0.475784,0.221043
